Machine,TestNumber,Type,DateTime,TestRef,ISO_Code,NAS_Class,AS4059,RH,Temperature,ISO4,ISO6,ISO14,Volume,TotalCount4,TotalCount6,TotalCount14,TotalCount21,TotalCount25,TotalCount38,TotalCount50,TotalCount68,Stage1Count4,Stage1Count6,Stage1Count14,Stage1Count21,Stage1Count25,Stage1Count38,Stage1Count50,Stage1Count68,Stage2Count4,Stage2Count6,Stage2Count14,Stage2Count21,Stage2Count25,Stage2Count38,Stage2Count50,Stage2Count68,Stage3Count4,Stage3Count6,Stage3Count14,Stage3Count21,Stage3Count25,Stage3Count38,Stage3Count50,Stage3Count68,Customer,Fluid,TankVolume,WorkingHours,Viscosity,Contamination,SampleMethodID,SampleDate,AnalysisRequestedCounting,AnalysisRequestedWater,AnalysisRequestedFilterability,AnalysisRequestedMembrane,AnalysisRequestedPhotography,AnalysisRequestedViscosity,AnalysisRequestedTAN,ResultWater,ResultFilterability,ResultViscosity,ResultViscosityTemp,ResultTAN,MembraneSize,MembraneVolume,MembranePoreSize,ContaminationLightMetal,ContaminationDarkMetal,ContaminationYellowMetal,ContaminationSilica,ContaminationRubberPlastic,ContaminationFibre,ContaminationOther,FilterabilityVolume,FilterabilityTime,FilterabilityArea,FilterabilityIndex,CountingNotes,CountingFailureID,ReferenceID,NASStage1Count5_15,NASStage1Count15_25,NASStage1Count25_50,NASStage1Count50_100,NASStage1Count100,NASStage2Count5_15,NASStage2Count15_25,NASStage2Count25_50,NASStage2Count50_100,NASStage2Count100,NASStage3Count5_15,NASStage3Count15_25,NASStage3Count25_50,NASStage3Count50_100,NASStage3Count100,NASTotalCount5_15,NASTotalCount15_25,NASTotalCount25_50,NASTotalCount50_100,NASTotalCount100,NAS_CLASS_5_15,NAS_CLASS_15_25,NAS_CLASS_25_50,NAS_CLASS_50_100,NAS_CLASS_100,AS4059_A,AS4059_B,AS4059_C,AS4059_D,AS4059_E,AS4059_F,AS4059E1_CLASS_6_14,AS4059E1_CLASS_14_21,AS4059E1_CLASS_21_38,AS4059E1_CLASS_38_70,AS4059E1_CLASS_70,AS4059E1_TotalCount6_14,AS4059E1_TotalCount14_21,AS4059E1_TotalCount21_38,AS4059E1_TotalCount38_70,AS4059E1_TotalCount70,AS4059E1_Stage1Count6_14,AS4059E1_Stage1Count14_21,AS4059E1_Stage1Count21_38,AS4059E1_Stage1Count38_70,AS4059E1_Stage1Count70,AS4059E1_Stage2Count6_14,AS4059E1_Stage2Count14_21,AS4059E1_Stage2Count21_38,AS4059E1_Stage2Count38_70,AS4059E1_Stage2Count70,AS4059E1_Stage3Count6_14,AS4059E1_Stage3Count14_21,AS4059E1_Stage3Count21_38,AS4059E1_Stage3Count38_70,AS4059E1_Stage3Count70,AS4059E1_CLASS1,AS4059E1_CLASS2,AS4059E1_CLASS3,AS4059E1_CLASS,portion,scanned_volume_ml,count_4,count_5,count_6,count_7,count_8,count_9,count_10,count_11,count_12,count_13,count_14,count_15,count_16,count_17,count_18,count_19,count_20,count_21,count_22,count_23,count_24,count_25,count_26,count_27,count_28,count_29,count_30,count_38,count_50,count_70
1117100009,16,5,2026-06-08 15:38,Clause 6 B1, 21/19/16 ,11,11A/11B/10C/11D/8E/0F,,,21,19,16,,1076763,462224,36130,10333,5376,369,73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426094,25797,9964,369,0,11,10,11,9,0,11,11,10,11,8,0,11,10,11,9,0,426094,25797,9964,369,0,,,,,,,,,,,,,,,,11,11,11,11,1,4.054743,17172.72852,14791.32031,12886.6377,11006.86328,9332.28125,7981.76416,6715.838867,5611.453125,4622.241211,3725.020508,2967.635742,2299.282715,1751.529053,1317.2229,972.441467,729.762695,551.20636,424.934479,327.271057,245.391647,182.255707,135.150375,98.89653,74.97393,54.010822,38.226837,25.155725,17.756983,12.577863,8.138618
1117100009,17,5,2026-06-08 15:38,Clause 6 B1, 21/19/16 ,11,11A/11B/10C/11D/8E/0F,,,21,19,16,,1122442,474651,34473,10562,5135,332,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440178,23911,10230,332,0,11,10,11,8,0,11,11,10,11,8,0,11,10,11,8,0,440178,23911,10230,332,0,,,,,,,,,,,,,,,,11,11,11,11,2,4.809424,18013.79883,15499.56836,13455.24805,11483.91016,9714.259766,8287.270508,6921.410156,5767.841797,4746.51416,3803.781494,3038.201416,2353.919922,1801.878784,1366.483643,1013.634827,756.223572,570.96228,423.751343,316.669922,240.777252,185.469177,135.151306,101.259521,70.694534,51.565422,38.674068,27.238186,17.465708,12.26758,7.901154
1117100009,18,5,2026-06-08 15:39,Clause 6 B1, 21/19/16 ,11,11A/11B/10C/10D/8E/0F,,,21,19,16,,1104592,466799,34503,9795,4845,271,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,432296,24708,9524,271,0,11,10,11,8,0,11,11,10,10,8,0,11,10,11,8,0,432296,24708,9524,271,0,,,,,,,,,,,,,,,,11,11,11,11,3,4.787919,17694.74609,15225.61426,13232.88965,11296.97559,9560.939453,8145.710938,6860.601074,5697.256348,4667.999023,3759.462402,2978.12085,2300.582031,1765.067627,1326.672485,991.662659,739.360962,554.311829,413.123138,314.541687,232.877808,174.815002,127.195145,93.777702,67.043747,48.455292,34.25288,23.60107,16.499863,10.860669,6.265771
1117100009,19,5,2026-06-08 15:39,Clause 6 B1, 21/19/16 ,11,11A/11B/10C/11D/8E/0F,,,21,19,16,,1110012,474439,34938,10544,5324,332,83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439501,24394,10212,332,0,11,10,11,8,0,11,11,10,11,8,0,11,10,11,8,0,439501,24394,10212,332,0,,,,,,,,,,,,,,,,11,11,11,11,4,4.808413,17755.75586,15256.80273,13263.21289,11344.7002,9625.213867,8210.194336,6911.012695,5761.36084,4744.393066,3802.918213,3023.243164,2330.083008,1774.182251,1331.208618,992.011414,736.833618,548.829773,417.393463,320.47998,245.611206,184.884308,136.427567,99.201141,74.660812,53.447994,37.642361,26.82798,17.053446,11.022348,7.486878
1117100009,20,5,2026-06-08 15:39,Clause 6 B1, 21/19/16 ,11,11A/11B/10C/11D/7E/7F,,,21,19,16,,1106233,469963,35819,9859,4451,208,83,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434144,25960,9651,188,20,11,10,11,8,7,11,11,10,11,7,7,11,10,11,8,7,434144,25960,9651,188,20,,,,,,,,,,,,,,,,11,11,11,11,5,4.807395,17871.00781,15308.49707,13219.83984,11314.65039,9596.672852,8143.494629,6871.496094,5713.48877,4699.634277,3797.482422,3023.674805,2348.465088,1795.150879,1352.499512,999.085693,747.806152,564.546875,428.090424,326.372162,248.783356,181.595215,132.920212,95.061867,67.604172,44.722763,29.745836,18.513144,11.024681,6.864424,4.36827
1117100009,21,5,2026-06-08 15:39,Clause 6 B1, 21/19/16 ,11,11A/11B/10C/11D/8E/4F,,,21,19,16,,1104861,469857,35147,10215,5015,300,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,434710,24932,9915,296,4,11,10,11,8,4,11,11,10,11,8,4,11,10,11,8,4,434710,24932,9915,296,4,,,,,,,,,,,,,,,,11,11,11,11,0,23.267895,17717.63281,15229.39648,13221.6084,11298.18555,9573.320312,8159.053711,6860.483398,5713.40918,4698.577148,3779.456787,3007.491699,2327.283936,1778.459106,1339.528198,994.460388,742.439331,558.151062,421.396088,320.914307,242.608978,181.838547,133.316742,97.559319,70.870186,50.326855,35.62849,24.239408,15.901739,10.615485,6.790473
1117100009,22,5,2026-06-08 15:43,Clause 6 B2, 21/19/16 ,11,11A/11B/10C/11D/9E/8F,,,21,19,16,,1061583,459843,35486,10606,5241,541,172,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,424357,24880,10065,492,49,11,10,11,9,8,11,11,10,11,9,8,11,10,11,9,8,424357,24880,10065,492,49,,,,,,,,,,,,,,,,11,11,11,11,1,4.063553,16827.63867,14510.45508,12624.91309,10846.91211,9230.838867,7874.390137,6655.013672,5571.725098,4598.192871,3710.053955,2976.95166,2313.73877,1773.078979,1326.425415,988.051636,738.516296,560.347107,418.599213,324.838898,245.843979,186.044098,137.81044,101.389107,74.319199,52.417183,37.405689,24.609007,16.734125,11.074053,8.859242
1117100009,23,5,2026-06-08 15:43,Clause 6 B2, 21/19/16 ,11,11A/11B/10C/11D/9E/9F,,,21,19,16,,1065468,460859,34059,9973,4883,434,206,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,426800,24086,9539,352,82,11,10,11,9,9,11,11,10,11,9,9,11,10,11,9,9,426800,24086,9539,352,82,,,,,,,,,,,,,,,,11,11,11,11,2,4.832709,16932.11914,14560.98438,12696.60645,10883.33691,9252.78125,7884.190918,6642.237305,5543.888672,4608.595703,3713.652344,2945.346191,2269.12085,1742.087158,1299.478271,982.678711,728.576904,547.932861,414.467346,312.040314,230.305618,173.815567,128.913208,94.977791,65.387756,48.833897,38.694656,26.072334,18.002327,12.001551,6.621545
1117100009,24,5,2026-06-08 15:43,Clause 6 B2, 21/19/16 ,11,11A/11B/10C/11D/8E/0F,,,21,19,16,,1057203,455065,34020,10722,5371,270,62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421045,23298,10452,270,0,11,10,11,8,0,11,11,10,11,8,0,11,10,11,8,0,421045,23298,10452,270,0,,,,,,,,,,,,,,,,11,11,11,11,3,4.803049,16784.13086,14468.51856,12583.46582,10800.43164,9199.157227,7845.433594,6643.905273,5545.02002,4550.651367,3667.878662,2900.449463,2239.827393,1714.952515,1295.010864,973.964722,731.618652,555.688721,415.777588,305.222809,234.018036,177.387329,132.832306,102.434944,73.911392,53.715885,37.892601,26.857943,18.321697,10.201854,4.996826
1117100009,25,5,2026-06-08 15:44,Clause 6 B2, 21/19/16 ,11,11A/11B/10C/11D/7E/7F,,,21,19,16,,1060494,464562,34896,10097,4831,206,82,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429666,24799,9891,186,20,11,10,11,8,7,11,11,10,11,7,7,11,10,11,8,7,429666,24799,9891,186,20,,,,,,,,,,,,,,,,11,11,11,11,4,4.842834,16826.30664,14562.75586,12660.97656,10839.72852,9230.546875,7907.354004,6673.365723,5604.776367,4645.420898,3742.850098,2972.639893,2297.002441,1756.822754,1312.661255,972.158142,737.171753,556.079407,420.208527,314.485321,239.942169,183.776703,134.42543,97.050621,69.174377,48.525311,33.864471,23.333447,14.454348,8.466118,4.336304
1117100009,26,5,2026-06-08 15:44,Clause 6 B2, 21/19/16 ,11,11A/11B/10C/10D/8E/7F,,,21,19,16,,1058003,458015,32983,8963,4233,247,82,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425032,24020,8716,227,20,11,10,11,8,7,11,11,10,10,8,7,11,10,11,8,7,425032,24020,8716,227,20,,,,,,,,,,,,,,,,11,11,11,11,5,4.84176,16767.25195,14458.17285,12591.70313,10808.4668,9197.069336,7868.626953,6641.800293,5534.971191,4580.152832,3694.9375,2940.873047,2271.281738,1742.961304,1286.515747,960.807678,705.735168,533.070679,394.071594,298.651764,224.505157,161.304993,117.106186,86.332245,60.721725,42.339977,28.70857,19.414429,12.598725,6.402631,4.750339
1117100009,27,5,2026-06-08 15:44,Clause 6 B2, 21/19/16 ,11,11A/11B/10C/11D/8E/8F,,,21,19,16,,1060520,459666,34250,10053,4896,333,119,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,425416,24197,9720,299,34,11,10,11,8,8,11,11,10,11,8,8,11,10,11,8,8,425416,24197,9720,299,34,,,,,,,,,,,,,,,,11,11,11,11,0,23.383904,16827.51563,14512.24805,12631.7666,10835.48731,9221.728516,7876.016113,6651.070801,5559.764648,4596.666016,3705.75415,2946.385742,2277.12207,1745.089355,1303.289673,975.200745,728.022156,550.20752,412.420441,310.598267,234.520294,176.10405,129.961197,96.220032,68.508667,49.093601,35.237915,24.033627,15.993908,9.579239,5.815967
1117100009,28,5,2026-06-08 15:48,Clause 6 B3, 21/19/16 ,11,11A/11B/10C/11D/9E/7F,,,21,19,16,,1033672,455414,35565,11183,5161,589,172,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419849,24382,10594,565,24,11,10,11,9,7,11,11,10,11,9,7,11,10,11,9,7,419849,24382,10594,565,24,,,,,,,,,,,,,,,,11,11,11,11,1,4.068599,16408.59766,14150.32617,12326.11133,10568.25781,9002.362305,7721.085938,6564.17627,5513.446289,4554.147949,3686.035645,2925.085693,2259.991943,1735.241211,1315.440552,990.267212,755.296875,575.382385,428.157227,325.17337,245.539078,186.059143,142.555222,105.933281,74.472816,51.614822,37.359299,27.773689,19.662788,14.255523,9.831394
1117100009,29,5,2026-06-08 15:49,Clause 6 B3, 21/19/16 ,11,11A/11B/10C/11D/8E/7F,,,21,19,16,,1033331,449599,34666,10511,5441,370,185,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414933,24155,10141,350,20,11,10,11,8,7,11,11,10,11,8,7,11,10,11,8,7,414933,24155,10141,350,20,,,,,,,,,,,,,,,,11,11,11,11,2,4.851878,16392.82617,14173.06836,12313.16992,10559.82813,8993.836914,7698.874512,6490.888672,5435.626953,4495.990723,3634.881104,2914.953613,2247.377197,1722.01355,1298.466187,970.552002,728.996033,541.439819,416.951935,313.692963,239.082672,183.021912,135.411484,100.167397,75.640808,54.618023,37.923458,26.17543,18.549519,12.366345,8.656442
1117100009,30,5,2026-06-08 15:49,Clause 6 B3, 21/19/16 ,11,11A/11B/10C/11D/8E/0F,,,21,19,16,,1033340,452407,34432,10530,5306,414,103,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417975,23902,10116,414,0,11,10,11,9,0,11,11,10,11,8,0,11,10,11,9,0,417975,23902,10116,414,0,,,,,,,,,,,,,,,,11,11,11,11,3,4.823966,16398.33398,14169.66992,12321.19043,10560.81348,8994.674805,7701.754883,6520.776367,5474.956055,4524.078613,3622.331055,2888.702148,2229.908203,1712.491455,1286.493408,966.217529,725.751465,550.169739,412.730988,311.362091,243.990128,190.299866,138.26799,99.710495,73.383606,53.482967,39.179386,24.668501,16.376568,9.743021,6.426248
1117100009,31,5,2026-06-08 15:49,Clause 6 B3, 21/19/16 ,11,11A/11B/10C/11D/8E/0F,,,21,19,16,,1032410,451908,35507,10139,5007,370,82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416401,25368,9769,370,0,11,10,11,9,0,11,11,10,11,8,0,11,10,11,9,0,416401,25368,9769,370,0,,,,,,,,,,,,,,,,11,11,11,11,4,4.852526,16291.30957,14120.89356,12285.97266,10545.84863,9017.572266,7707.120605,6520.109863,5461.48584,4519.089844,3656.03418,2906.321533,2258.617676,1754.138062,1319.931152,983.199341,738.172302,558.472046,424.727264,323.955017,243.790573,182.997482,131.890076,96.856773,70.890915,50.48917,35.033302,23.49292,16.486259,9.685678,5.976269
1117100009,32,5,2026-06-08 15:50,Clause 6 B3, 21/19/16 ,11,11A/11B/10C/11D/8E/7F,,,21,19,16,,1041556,451879,34893,9848,4996,412,123,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416986,25045,9436,392,20,11,10,11,9,7,11,11,10,11,8,7,11,10,11,9,7,416986,25045,9436,392,20,,,,,,,,,,,,,,,,11,11,11,11,5,4.843329,16628.84961,14335.59277,12467.04395,10643.29785,9093.331055,7751.898926,6548.800781,5470.204102,4518.79248,3645.632568,2921.337402,2272.81665,1738.680054,1320.372681,983.001465,746.800354,553.751282,418.513763,318.582489,235.581741,177.770279,130.901688,93.324234,67.928482,49.96563,34.480412,23.537527,15.072276,10.117007,5.987617
1117100009,33,5,2026-06-08 15:50,Clause 6 B3, 21/19/16 ,11,11A/11B/10C/11D/9E/6F,,,21,19,16,,1034897,452140,34999,10422,5179,426,132,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,417141,24577,9996,414,12,11,10,11,9,6,11,11,10,11,9,6,11,10,11,9,6,417141,24577,9996,414,12,,,,,,,,,,,,,,,,11,11,11,11,0,23.440296,16424.19531,14191.16016,12343.18848,10575.84766,9020.960938,7715.986328,6527.861328,5469.726074,4521.401855,3647.778076,2910.884766,2253.512451,1732.486694,1307.961304,978.315308,738.557251,555.15509,420.003235,318.298035,241.507187,183.999374,135.621155,98.974861,72.439354,52.089787,36.774281,25.042345,17.149954,11.134671,7.29513
